<Logging continued from "data/ulx_logs/01-01-21.txt">
[00:00:00] 1000-7<STEAM_0:1:158304557> spawned sent item_battery
[00:00:06] Sandro23: чапи
[00:00:08] PivchaN<STEAM_0:1:73875039> spawned effect models/items/flare.mdl
[00:00:09] Chappie<STEAM_0:1:129354118> spawned vehicle models/ruscars/vaz21063_school/vaz21063_school.mdl
[00:00:11] PivchaN<STEAM_0:1:73875039> spawned model models/items/ar2_grenade.mdl
[00:00:13] 1000-7<STEAM_0:1:158304557> spawned model models/items/battery.mdl
[00:00:16] Sandro23: Нужна машина или нет?
[00:00:18] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:19] Chappie<STEAM_0:1:129354118> spawned vehicle models/ruscars/ikarus260/ikarus260_skin.mdl
[00:00:20] PivchaN<STEAM_0:1:73875039> spawned model models/items/grenadeammo.mdl
[00:00:36] Chappie<STEAM_0:1:129354118> spawned vehicle models/ruscars/izh27151/izh27151.mdl
[00:00:38] Chappie<STEAM_0:1:129354118> spawned vehicle models/ruscars/izh27151/izh27151.mdl
[00:00:46] Client "RUDIABLO" connected.
[00:00:49] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:49] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:49] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:49] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:49] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:49] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:49] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:49] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:49] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:49] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:49] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:49] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:49] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:49] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:49] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:49] Chappie<STEAM_0:1:129354118> spawned vehicle models/ruscars/izh27151/izh27151.mdl
[00:00:50] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:50] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:50] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:50] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:50] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:50] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:50] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:50] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:50] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:50] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:50] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:50] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:50] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:50] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:50] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:51] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:51] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:51] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:51] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:51] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:51] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:51] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:51] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:51] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:51] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:51] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:51] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:52] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:52] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:52] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:52] Sandro23<STEAM_0:0:435148107> spawned vehicle models/ruscars/zil133/zil133.mdl
[00:00:53] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:53] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:53] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:53] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:53] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:53] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:53] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:53] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:53] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:53] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:53] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:53] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:53] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:53] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:53] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:54] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:54] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:00:54] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:01:09] DarDarf<STEAM_0:0:187776687> spawned sent ent_jack_gmod_ezarmor_hlshoulder
[00:01:09] DarDarf<STEAM_0:0:187776687> spawned sent ent_jack_gmod_ezarmor_hlthigh
[00:01:10] DarDarf<STEAM_0:0:187776687> spawned sent ent_jack_gmod_ezarmor_hrshoulder
[00:01:10] DarDarf<STEAM_0:0:187776687> spawned sent ent_jack_gmod_ezarmor_hrthigh
[00:01:31] PivchaN<STEAM_0:1:73875039> spawned model models/props_junk/trashdumpster02.mdl
[00:01:34] 1000-7<STEAM_0:1:158304557> spawned model models/props_junk/trashdumpster02.mdl
[00:01:34] 1000-7<STEAM_0:1:158304557> spawned model models/props_junk/trashdumpster02.mdl
[00:01:34] 1000-7<STEAM_0:1:158304557> spawned model models/props_junk/trashdumpster02.mdl
[00:01:34] 1000-7<STEAM_0:1:158304557> spawned model models/props_junk/trashdumpster02.mdl
[00:01:34] 1000-7<STEAM_0:1:158304557> spawned model models/props_junk/trashdumpster02.mdl
[00:01:34] 1000-7<STEAM_0:1:158304557> spawned model models/props_junk/trashdumpster02.mdl
[00:01:34] 1000-7<STEAM_0:1:158304557> spawned model models/props_junk/trashdumpster02.mdl
[00:01:34] 1000-7<STEAM_0:1:158304557> spawned model models/props_junk/trashdumpster02.mdl
[00:01:34] 1000-7<STEAM_0:1:158304557> spawned model models/props_junk/trashdumpster02.mdl
[00:01:34] 1000-7<STEAM_0:1:158304557> spawned model models/props_junk/trashdumpster02.mdl
[00:01:34] 1000-7<STEAM_0:1:158304557> spawned model models/props_junk/trashdumpster02.mdl
[00:01:34] 1000-7<STEAM_0:1:158304557> spawned model models/props_junk/trashdumpster02.mdl
[00:01:34] 1000-7<STEAM_0:1:158304557> spawned model models/props_junk/trashdumpster02.mdl
[00:01:34] 1000-7<STEAM_0:1:158304557> spawned model models/props_junk/trashdumpster02.mdl
[00:01:34] 1000-7<STEAM_0:1:158304557> spawned model models/props_junk/trashdumpster02.mdl
[00:01:46] PivchaN<STEAM_0:1:73875039> spawned model models/props_junk/trashdumpster02.mdl
[00:01:51] 1000-7<STEAM_0:1:158304557> spawned model models/items/car_battery01.mdl
[00:01:54] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:01:58] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:01:58] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:01:58] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:01:58] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:01:58] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:01:58] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:01:58] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:01:58] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:01:58] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:01:58] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:01:58] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:01:58] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:01:58] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:01:58] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:01:58] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:02:14] PivchaN: пока ничего
[00:02:17] 1000-7<STEAM_0:1:158304557> spawned sent drone_sentity
[00:02:18] Sandro23<STEAM_0:0:435148107> spawned model models/props_phx/construct/metal_plate2x2.mdl
[00:02:19] DarDarf<STEAM_0:0:187776687> spawned sent ent_jack_gmod_ezarmor_thermals
[00:02:23] Client "RUDIABLO" spawned in server <STEAM_0:0:59005887> (took 97 seconds).
[00:02:24] Sandro23<STEAM_0:0:435148107> spawned model models/props_phx/construct/metal_plate2x4.mdl
[00:02:29] Sandro23<STEAM_0:0:435148107> spawned model models/props_phx/construct/metal_plate1x2.mdl
[00:02:45] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:02:46] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:02:46] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:02:46] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:02:46] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:02:46] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:02:46] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:02:46] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:02:46] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:02:46] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:02:46] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:02:46] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:02:46] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:02:46] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:02:46] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:02:46] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:02:51] Sandro23<STEAM_0:0:435148107> spawned sent ent_jack_gmod_ezcrate_uni
[00:03:01] Chappie<STEAM_0:1:129354118> spawned vehicle models/ruscars/izh27151/izh27151.mdl
[00:03:02] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:03] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:04] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:05] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:06] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:06] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:06] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:06] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:06] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:06] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:06] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:06] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:06] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:06] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:06] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:06] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:06] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:06] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:06] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:07] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:07] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:07] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:07] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:07] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:07] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:07] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:07] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:07] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:07] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:07] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:07] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:07] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:07] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:07] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:07] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:07] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:07] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:07] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:07] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:07] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:07] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:07] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:07] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:07] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:07] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:07] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:07] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:07] 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl
[00:03:08] Chappie<STEAM_0:1:129354118> spawned vehicle models/ruscars/izh27151/izh27151.mdl
[00:03:09] Dropped "RUDIABLO" from server<STEAM_0:0:59005887>
[00:03:11] Client "▰Angry▰Timur▰" connected.
[00:03:16] Sandro23<STEAM_0:0:435148107> spawned sent ent_jack_gmod_ezadvparts
[00:03:41] DarDarf: !menu
[00:03:50] Client "Titanovsky" connected.
[00:03:56] 0xadg: 1000-7<STEAM_0:1:158304557> spawned model models/items/grenadeammo.mdl (x16)
[00:04:00] Sandro23: оо
[00:04:08] Sandro23: А вы шо тута делаете?
[00:04:08] Dropped "1000-7" from server<STEAM_0:1:158304557>
[00:04:12] Client "Kreez" connected.
[00:04:29] Client "Sanchez0102" connected.
[00:04:30] Sandro23<STEAM_0:0:435148107> spawned sent ent_jack_gmod_ezammo
[00:04:31] (Console) banned steamid STEAM_0:1:158304557 permanently (minga)
[00:04:50] Dropped "PivchaN" from server<STEAM_0:1:73875039>
[00:05:00] 0xadg<STEAM_0:0:426598565> spawned model models/items/grenadeammo.mdl
