<Logging continued from "data/ulx_logs/07-28-20.txt">
[00:01:37] Dropped "✠Глебняшка✠" from server<STEAM_0:0:461664741>
[00:01:37] Dropped "Bot17" from server<BOT>
[00:01:37] Dropped "Bot02" from server<BOT>
[00:01:37] Dropped "Bot03" from server<BOT>
[03:08:12] Client "зак[RU's]" connected.
[03:13:35] Client "зак[RU's]" connected.
[03:15:27] Client "зак[RU's]" spawned in server <STEAM_0:1:483604613> (took 112 seconds).
[03:16:12] зак[RU's]<STEAM_0:1:483604613> spawned model models/hunter/plates/plate7x7.mdl
[03:16:29] зак[RU's]: !noclip
[03:16:34] зак[RU's]<STEAM_0:1:483604613> spawned model models/hunter/plates/plate3x6.mdl
[03:17:16] зак[RU's]<STEAM_0:1:483604613> spawned model models/hunter/plates/plate7x7.mdl
[03:17:18] зак[RU's]<STEAM_0:1:483604613> spawned model models/hunter/plates/plate7x7.mdl
[03:17:20] зак[RU's]<STEAM_0:1:483604613> spawned model models/hunter/plates/plate7x7.mdl
[03:17:27] зак[RU's]<STEAM_0:1:483604613> spawned model models/hunter/plates/plate5x6.mdl
[03:17:39] зак[RU's]<STEAM_0:1:483604613> spawned model models/hunter/plates/plate4x8.mdl
[03:17:40] зак[RU's]<STEAM_0:1:483604613> spawned model models/hunter/plates/plate4x16.mdl
[03:17:49] зак[RU's]<STEAM_0:1:483604613> spawned model models/hunter/plates/plate3x7.mdl
[03:17:51] зак[RU's]<STEAM_0:1:483604613> spawned model models/hunter/plates/plate3x8.mdl
[03:18:24] зак[RU's]<STEAM_0:1:483604613> spawned model models/hunter/plates/plate1x3.mdl
[03:18:42] зак[RU's]<STEAM_0:1:483604613> spawned model models/hunter/plates/plate1x3.mdl
[03:18:57] зак[RU's]<STEAM_0:1:483604613> spawned model models/props_c17/door01_left.mdl
[03:19:18] зак[RU's]<STEAM_0:1:483604613> spawned model models/hunter/plates/plate1x4.mdl
[03:19:27] зак[RU's]<STEAM_0:1:483604613> spawned model models/hunter/plates/plate2x4.mdl
[03:19:34] зак[RU's]<STEAM_0:1:483604613> spawned model models/hunter/plates/plate2x2.mdl
[03:19:36] зак[RU's]<STEAM_0:1:483604613> spawned model models/hunter/plates/plate1x8.mdl
[03:19:49] зак[RU's]<STEAM_0:1:483604613> spawned model models/hunter/plates/plate025x3.mdl
[03:20:03] зак[RU's]<STEAM_0:1:483604613> spawned model models/hunter/plates/plate025x3.mdl
[03:21:29] зак[RU's]<STEAM_0:1:483604613> spawned model models/hunter/plates/plate1x2.mdl
[03:21:32] зак[RU's]<STEAM_0:1:483604613> spawned model models/hunter/plates/plate075x1.mdl
[03:21:36] зак[RU's]<STEAM_0:1:483604613> spawned model models/hunter/plates/plate075x2.mdl
[03:22:21] зак[RU's]<STEAM_0:1:483604613> spawned model models/hunter/plates/plate075x3.mdl
[03:22:23] зак[RU's]<STEAM_0:1:483604613> spawned model models/hunter/plates/plate075x5.mdl
[03:22:25] зак[RU's]<STEAM_0:1:483604613> spawned model models/hunter/plates/plate075x6.mdl
[03:22:36] зак[RU's]<STEAM_0:1:483604613> spawned model models/hunter/plates/plate075x6.mdl
